Name,Gender,Nationality,Age,Stroke,Speciality,US College / University,DI Conference,Birthday,Previous US College / University,Previous DI Conference,Continent 1,Continent 2,ISL Team,Former ISL Teams,Image,World Aquatics Site,,,,NCAA College,Conference,,USA,North America,
Aaron Shackell,Male,USA,20,"Fly, Free",Stroke,"University of California, Berkeley",ACC,9/8/2004,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1533345/aaron-shackell,,,,"University of California, Berkeley",ACC,,CAN,North America,
Abbey Harkin,Female,AUS,27,"IM, Breast",Mid-D,N/A,N/A,5/6/1998,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1048458/abbey-harkin,,,,N/A,N/A,,JAM,North America,
Abbey Weitzeil,Female,USA,28,Free,Sprint,"University of California, Berkeley",ACC,12/3/1996,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1000261/abbey-weitzeil,,,,Stanford University,ACC,,CYM,North America,
Abbie Wood,Female,GBR,26,"IM, Breast",Mid-D,N/A,N/A,3/2/1999,,,Europe,,NYB,,,https://www.worldaquatics.com/athletes/1025115/abbie-wood,,,,University of Florida,SEC,,BRA,South America,
Abrahm Devine,Male,USA,28,"IM, Back",Mid-D,Stanford University,ACC,9/3/1996,,,North America,,LAC,DCT,,https://www.worldaquatics.com/athletes/1002819/abrahm-devine,,,,Indiana University,B1G,,TTO,South America,
Adam Chaney,Male,USA,23,"Back, Free",Sprint,Arizona State University,BIG 12,3/27/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1136696/adam-chaney,,,,North Carolina State University,ACC,,JPN,Asia,
Adam Peaty,Male,GBR,30,Breast,Sprint,N/A,N/A,12/28/1994,,,Europe,,LON,,,https://www.worldaquatics.com/athletes/1000785/adam-peaty,,,,University of Virginia,ACC,,CHN,Asia,
Ahmed Hafnaoui,Male,TUN,22,Free,Distance,Indiana University,B1G,12/4/2002,,,Africa,,N/A,,,https://www.worldaquatics.com/athletes/1161559/ahmed-hafnaoui,,,,University of Michigan,B1G,,KOR,Asia,
Ahmed Jaouadi,,,19,Free,Distance,N/A,N/A,5/30/2005,,,,,N/A,,,https://www.worldaquatics.com/athletes/1544338/ahmed-jaouadi,,,,Texas A&M University,SEC,,SIN,Asia,
Aiden Hayes,Male,USA,22,Fly,Stroke,North Carolina State University,ACC,1/1/2003,,,North America,,N/A,,,,,,,Penn State University,B1G,,HKG,Asia,
Aimee Canny,Female,RSA,21,Free,Sprint,University of Virginia,ACC,11/21/2003,,,Africa,,N/A,,,https://www.worldaquatics.com/athletes/1190199/aimee-canny,,,,University of Georgia,SEC,,RUS,Asia,Europe
AJ Pouch,,,24,Breast,Stroke,Virginia Tech University,ACC,11/15/2000,,,,,N/A,,,https://www.worldaquatics.com/athletes/1136939/a-j-pouch,,,,University of Louisville,ACC,,TUR,Asia,Europe
Alberto Razzetti,Male,ITA,25,"IM, Fly",Mid-D,N/A,N/A,6/2/1999,,,Europe,,TOR,,,https://www.worldaquatics.com/athletes/1057211/alberto-razzetti,,,,Emory University,N/A,,EGY,Asia,Africa
Alessandro Miressi,Male,ITA,26,Free,Sprint,N/A,N/A,10/2/1998,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1020865/alessandro-miressi,,,,University of Texas,SEC,,UKR,Europe,
Alex Graham,Male,AUS,30,Free,Sprint,N/A,N/A,4/28/1995,,,Austrailia,,N/A,LON,,https://www.worldaquatics.com/athletes/1005576/alexander-graham,,,,University of Arkansas,SEC,,GER,Europe,
Alex Shackell,Female,USA,18,"Fly, Free",Stroke,"University of California, Berkeley",ACC,11/23/2006,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1533460/alex-shackell,,,,Auburn University,SEC,,FRA,Europe,
Alex Walsh,Female,USA,23,IM,Stroke,University of Virginia,ACC,7/31/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1057263/alex-walsh,,,,University of Alabama,SEC,,ITA,Europe,
Alexandria Perkins,Female,AUS,24,Fly,Stroke,N/A,N/A,7/27/2000,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1188518/alexandria-perkins,,,,Duke University,ACC,,POL,Europe,
Alfonso Mestre,Male,VEN,23,Free,Distance,University of Florida,SEC,9/24/2001,,,South America,,N/A,,,https://www.worldaquatics.com/athletes/1189916/alfonso-enrique-mestre-vivas,,,,University of Wisconsin,B1G,,NED,Europe,
Ali DeLoof,Female,USA,30,"Back, Free",Sprint,University of Michigan,B1G,8/14/1994,,,North America,,DCT,"LAC, NYB",,https://www.worldaquatics.com/athletes/1051345/alexandra-de-loof,,,,University of Minnesota,B1G,,SUI,Europe,
Alia Atkinson,Female,JAM,36,Breast,Stroke,Texas A&M University,SEC,12/11/1988,,,North America,,LON,IRO,,https://www.worldaquatics.com/athletes/1000569/alia-atkinson,,,,University of Arizona,BIG 12,,AUT,Europe,
Alley McCugh,Female,USA,28,"IM, Free",Distance,Penn State University,B1G,5/14/1997,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1136845/ally-mchugh,,,,Louisiana State University,SEC,,GRE,Europe,
Allison Schmitt,Female,USA,34,Free,Mid-D,University of Georgia,SEC,6/7/1990,,,North America,,N/A,CAC,,https://www.worldaquatics.com/athletes/1001828/allison-schmitt,,,,Georgia Tech University,ACC,,SWE,Europe,
Amy Bilquist,Female,USA,27,"Back, Free",Sprint,"University of California, Berkeley",ACC,8/11/1997,,,North America,,N/A,"LAC, DCT",,https://www.worldaquatics.com/athletes/1000061/amy-bilquist,,,,Ohio State University,B1G,,DEN,Europe,
Anastasia Gorbenko,Female,ISR,21,"IM, Back",Stroke,N/A,N/A,8/7/2003,,,Asia,,LAC,,,https://www.worldaquatics.com/athletes/1135373/anastasia-gorbenko,,,,Harvard University,IV League,,ROM,Europe,
Anastasiya Kirpichnikova,,,24,Free,Distance,N/A,N/A,6/24/2000,,,,,N/A,,,https://www.worldaquatics.com/athletes/1020229/anastasiia-kirpichnikova,,,,University of Southern California,B1G,,HUN,Europe,
